"Speaker Name","Start Time","End Time","Text"
"Michael","00:03:32:30","00:03:42:49","Wenn ich als Informatiker diese Chance gehabt hätte, ich hätte nicht... Ich hätte nicht eine Sekunde gezögert, ich hätte das sofort gemacht! Aber wenn man dann nicht aus dem Fach ist, dann ist man vielleicht noch nicht ganz so..."
"Dietmar","00:03:42:49","00:03:43:02","Genau!"
"Dietmar","00:03:43:02","00:03:51:42","Das war auch meine Sorge, dass ich das ganze Thema nicht verstehe. Und so war es auch die ersten Wochen! Wir haben es... Also ich habe nur Bahnhof verstanden! Ich habe die Maschine nicht verstanden, wie das funktioniert!"
"Dietmar","00:03:51:42","00:04:01:27","Das duale System war mir bis dahin gänzlich unbekannt. Ich wusste zwar, dass besteht aus Null und Eins... Aber wie man digital addiert, subtrahiert, multipliziert, habe ich erst in der Diplomarbeit gelernt."
"Michael","00:04:01:27","00:04:01:31","MhHm."
"Dietmar","00:04:02:14","00:04:05:41","Und da waren schon noch ein paar Hürden, die wir nehmen mussten. Das muss man ganz klar sagen!"
"Michael","00:04:06:13","00:04:08:24","Also fächerübergreifende Arbeit auf jeden Fall!"
"Dietmar","00:04:08:35","00:04:09:31","Ja, definitiv!"
"Dietmar","00:04:09:31","00:04:20:41","Und eine Arbeit, wo man keine Referenzen hat. Es gab keine Unterlagen, du findest nichts! Gut, damals gab es noch kein Wikipedia, aber im Mus... Im Lexikon hast du nichts gefunden... Wir waren ja blank."
"Dietmar","00:04:20:41","00:04:24:38","Zuse hat uns damals so ein paar Schriftunterlagen gegeben:"
"Dietmar","00:04:24:38","00:04:31:43","Sag ich, Steno? Na gut, haben wir die angenommen! Wir konnten ja kein Steno, haben es zum Stenobüro gebracht, sagt die Dame direkt so beim Ankucken: Können Sie wieder mitnehmen!"
"Dietmar","00:04:31:43","00:04:33:04","Wieso was?"
"Dietmar","00:04:33:04","00:04:35:30","Da ist kein Standard Steno, das sind ja andere Zeichen!"
"Dietmar","00:04:35:30","00:04:38:30","Da sind wieder zum Zuse hin: Sie, was ist den das für ein Steno hier?"
"Dietmar","00:04:38:30","00:04:43:29","Ja, das ist das... Normale Steno war ihm... Wie hat er es gesagt? Nicht effektiv genug, er hat die Syntax etwas abgeändert."
"Michael","00:04:43:29","00:04:44:34","(Michael lacht)"
"Dietmar","00:04:44:34","00:04:51:36","War für uns natürlich tot! Na? Das Ding haben wir wieder zurückgegeben, konnte man nichts damit anfangen. Also wir hatten keine Unterlagen, wir haben wirklich bei Null angefangen."
"Michael","00:04:51:36","00:04:51:41","MhHM."
"Dietmar","00:04:52:12","00:05:03:27","Und so sahen auch die ersten Wochen aus: Gearbeitet bis zum Anschlag und auf dem Papier nichts zustande gebracht. Wo wir mit der Diplomat fertig waren, ich habe drei Kreuze gemacht! Ich war so froh, dass wir das Thema hinter uns hatten."
"Dietmar","00:05:03:27","00:05:08:22","Und dann die Folge-Sieben-Monate später, wo wir an der Arbeit beteiligt waren, an der Maschine..."
"Dietmar","00:05:08:22","00:05:11:47","Ich will nicht sagen, die haben jetzt mehr Spaß gemacht... Es hat auch vorher schon Spaß gemacht."
"Dietmar","00:05:11:47","00:05:16:10","Aber... Da war diese Last der Diplomarbeit und dieses Abends schreiben müssen, war weg!"
"Dietmar","00:05:16:31","00:05:28:43","Wir konnten mal wieder ein bisschen Sport machen abends, wir sind mal rausgegangen. Davor haben wir nur in der Bude gehockt... Und haben bis zur Erschöpfung abends geschrieben... Sind ins Bett gegangen... Und am nächsten Morgen wieder “losgerammelt” und an der Maschine gearbeitet."
"Dietmar","00:05:28:43","00:05:30:48","Das war später auch schon einfacher für uns!"
"Michael","00:05:31:02","00:05:36:24","Konrad Zuse war ja damals schon achtundsiebzig... Was auch bemerkenswert ist, dass man da noch so fit ist!"
"Dietmar","00:05:36:40","00:05:38:12","Absolut bemerkenswert!"
"Dietmar","00:05:38:12","00:05:39:34","Super fit war der!"
"Dietmar","00:05:39:34","00:05:45:48","Also da war auch kein Hauch von Demenz zu merken. Oder Schwierigkeiten, oder Worte gefehlt haben... Auch seine Ausdrucksweise..."
"Dietmar","00:05:46:32","00:05:47:33","Sagenhaft!"
"Michael","00:05:47:33","00:05:52:49","Und gewohnt habt ihr Im Gästehaus der Stadt! Hat da also Hünfeld offensichtlich auch ein Interesse daran gehabt..."
"Dietmar","00:05:52:49","00:05:53:48","Ja!"
"Dietmar","00:05:53:48","00:05:56:24","Er ist ja Ehrenbürger von Hünfeld, die haben ein Museum..."
"Dietmar","00:05:56:24","00:06:03:40","Und wir haben auch den Bürgermeister kennengelernt in der Zeit. Und die waren auch froh, dass wir das gemacht haben und haben alles getan, um uns den Aufenthalt auch..."
"Dietmar","00:06:04:06","00:06:05:11","Angenehm zu gestalten, das muss man sagen!"
"Dietmar","00:06:05:11","00:06:11:15","Die Stadt Hünfeld: Auch im Nachhinein, bin ich sehr dankbar! Das war ein... für uns ein guter Aufenthalt, dort. Wir hatten Platz!"
"Dietmar","00:06:12:03","00:06:18:48","Es war jetzt nicht luxuriös ausgestattet... Mit einfachsten Möbeln: Tische, Schränke, kleine Kochnische. Aber es hat gereicht!"
"Dietmar","00:06:18:48","00:06:28:10","Und es war für uns kostenfrei. Und es war damals als Student, der BAföG nur bekommt, auf Kreditbasis... War das natürlich ein Geschenk, muss man ganz klar sagen!"
"Dietmar","00:06:28:11","00:06:32:47","Viele andere unserer Kommilitonen... Hatten irgendwo in einer fremden Stadt sich eine Wohnung mieten müssen... Haben dort eine Diplomarbeit geschrieben."
"Dietmar","00:06:33:34","00:06:35:15","Ganz andere finanzielle Voraussetzungen!"
"Dietmar","00:06:35:15","00:06:36:49","Also es war schon... Sehr gut!"
"Michael","00:06:36:49","00:06:39:07","Darf man fragen, wie viel ihr da bekommen habt?"
"Dietmar","00:06:39:07","00:06:46:35","Darfst du! Ich würde es dir auch direkt sagen, wenn ich es noch wüsste. Ich weiß es nicht mehr, aber es war lukrativ. Also es war ein ordentliches Gehalt in D-Mark Preisen..."
"Dietmar","00:06:46:35","00:06:49:19","Ich glaube, es waren über Tausend D-Mark! Aber wie viel weiß ich wirklich nicht mehr!"
"Michael","00:06:50:29","00:06:51:22","Und..."
"Michael","00:06:51:22","00:06:55:23","Da gab es ja ein Kuratorium: “Z1-Nachbau”"
"Michael","00:06:55:23","00:07:03:04","Das quasi... Die Finanzierung übernommen hat und auch... Keine Ahnung... Die Unterstützung gegeben hat."
"Michael","00:07:03:11","00:07:11:24","Da war die GMD, die hatten wir schon vorhin mal erwähnt. Dann Siemens, die Firma Siemens, die ja da die Zuse KG damals übernommen hatte."
"Michael","00:07:11:24","00:07:12:31","Genau!"
"Michael","00:07:12:31","00:07:16:16","Und das “Museum für Verkehr und Technik”, heute “Technikmuseum”..."
"Dietmar","00:07:16:31","00:07:17:12","In Berlin!"
"Michael","00:07:17:12","00:07:18:33","Das waren die drei."
"Michael","00:07:18:33","00:07:23:16","Hattest du da Kontakt mit irgendwelchen Leuten von diesen drei Gruppen?"
"Dietmar","00:07:23:18","00:07:29:46","Ja, mit allen drei Kontakt, aber erst nach dem Erstkontakt mit Professor Dr. Schäfer (GMD), der uns die Arbeit vermittelt hat."
"Dietmar","00:07:29:46","00:07:39:10","Als wir da unterschrieben hatten, waren vor Ort... Sind wir dann zum Antrittsbesuch nach Hersfeld gefahren (Siemens). Haben den Werkleiter kennengelernt! Auch der war froh und dankbar, dass wir das machen."
"Dietmar","00:07:39:10","00:07:46:38","Weil der hat ja seinen... Facharbeiter, Mitarbeiter... Ich weiß es nicht, hieß der Ernst mit Vornamen oder Ernst mit Nachnamen? Ich habe das auch vergessen nach 34 Jahren."
"Dietmar","00:07:47:08","00:08:00:10","Und der hat uns dann auch unterstützt: Der hat die Bleche geliefert... Der hat Aufträge von uns wieder mitgenommen nach Bad Hersfeld. Also Siemens hat da schon mächtig mit interveniert, dass das mit der Maschine vorwärts geht."
"Dietmar","00:08:00:10","00:08:09:18","Und dann habe ich auch den... Ich weiß seinen Namen gar nicht mehr, Professor, diesen Direktor von dem Museum kennengelernt und der kann mal zu Besuch nach Hünfeld. Und hat uns auch klar gemacht, die Maschine geht nach Berlin!"
"Dietmar","00:08:09:18","00:08:10:26","Weil Zuse ist ja Berliner."
"Dietmar","00:08:11:02","00:08:20:11","Und würde dann auch wenn es so weit wäre, die Maschine involviert wird... Umgezogen wird nach Berlin, da würde er uns einladen zu der Einweihung. Hat er uns alles schon schmackhaft gemacht!"
"Dietmar","00:08:20:11","00:08:22:28","Und der war mehrmals auch in Hünfeld, den haben wir kennengelernt."
"Michael","00:08:22:38","00:08:33:05","Und das fing ja 1988 an... Allerdings habe ich zum Beispiel auf der Webseite vom Horst Zuse, dem Sohn von Konrad Zuse, gelesen, dass da schon ein gewisser Vorlauf war... Neunzehnhundert..."
"Dietmar","00:08:33:05","00:08:34:44","Ja!"
"Michael","00:08:34:44","00:08:38:20","Er schreibt 1986 ging es schon los!"
"Dietmar","00:08:39:04","00:08:42:22","Kann ich nicht beurteilen, kann aber sein! Die Maschine stand schon da, als wir kamen."
"Michael","00:08:42:22","00:08:43:31","Die Maschine stand schon da?"
"Dietmar","00:08:43:31","00:08:46:03","Also das Gerüst, die ersten Ebenen..."
"Michael","00:08:46:03","00:08:46:39","Ach was?"
"Dietmar","00:08:46:39","00:09:02:41","Ja, also die war nicht bei Null! Das war ja auch... Zuse hat ja schon daran gearbeitet, auch mit diesem Siemens Mitarbeiter: Dem Herrn Ernst, oder Ernst als Vornamen... Ich weiß es nicht mehr! Und die beiden haben ja schon Arbeit geleistet. Das war ja klar, dieses Kuratorium lief ja schon! Wir kamen später dazu!"
"Dietmar","00:09:02:41","00:09:14:08","Weil die Idee geboren war: Mit zwei Studenten hätte man natürlich ein paar Arbeitskräfte mehr. Die könnten das auch dokumentieren. Das war so der Sinn dahinter! Aus heutiger Sicht komplett nachvollziehbar! Das haben wir Industrie auch so gemacht, zum Teil."
"Dietmar","00:09:14:08","00:09:25:46","Und als ich das erste Mal in dieses Atelier kamen... Dann waren die Stifte schon da, dieses Gestell mit dem Motor seitlich. Und die ganzen Becher mit den Einzelteilen standen da. Und wir haben nur gestaunt, das soll ein Rechner werden?"
"Dietmar","00:09:25:46","00:09:36:27","Also, das stimmt, die Vorarbeiten... Ob das jetzt 1986 war, 87, weiß ich nicht, das wird der Horst besser wissen... Den wir auch kennengelernt haben in Berlin, damals... persönlich! Das kann schon stimmen, das ist alles korrekt!"
"Dietmar","00:09:36:27","00:09:38:35","Also die Maschine war schon im Aufbau, gar keine Frage."
"Michael","00:09:38:38","00:09:44:12","Was ich gesehen habe, in München gibt es ein Speicher Modell von der Z1. Ich weiß nicht, ob du das mal..."
"Dietmar","00:09:44:42","00:09:52:12","Habe ich nicht gesehen! Ich war in München noch vor der Diplomarbeit. In so fern... Ich war seitdem nicht mehr im Deutschen Museum, seit 30 Jahren. Ich muss da unbedingt mal wieder hin!"
"Michael","00:09:52:13","00:10:06:07","Ja, ja, da gibt es ein Modell mit dem Speicher und ich glaube, das war auch eine Vorarbeit zu dem Nachbau. Müsste ich aber auch nochmal recherchieren. Das könnte eine Vorarbeit gewesen sein. Steht es jetzt im Deutschen Museum!"
"Michael","00:10:06:07","00:10:10:23","Und du sagst ja dann: Okay, da haben sie tatsächlich schon was aufgebaut. Der Rahmen stand."
"Dietmar","00:10:10:23","00:10:11:39","Ja!"
"Michael","00:10:11:39","00:10:13:43","Der Motor komischerweise am Anfang schon dran..."
"Dietmar","00:10:14:34","00:10:14:45","Genau!"
"Dietmar","00:10:14:45","00:10:27:48","Ich habe nie verstanden, warum hat die Maschine einen Motor bekommen? Die war von Hand leicht zu drehen, und man hat einfach bei einem Defekt in der Hand gespürt: Hoppla, hier stimmt was nicht! Hat zurückgezogen, bevor die Bleche vollends verbiegen... Und der Motor hätte das ja nie gespürt, der wäre durchgerutscht!"
"Dietmar","00:10:27:48","00:10:36:43","Es hieß zwar, es sei eine Rutschkupplung dran, aber... Die ist nicht so feinfühlig, wie Mensch! Also ich fand das mit dem Motor... Wir haben den auch nie in Betrieb genommen. Nicht in der Zeit wo wir da waren: Der Motor lief nicht einmal!"
"Michael","00:10:36:48","00:10:38:30","Aber gleich am Anfang schon..."
"Dietmar","00:10:38:44","00:10:42:42","Der hing dran, auf beiden Seiten! Dicker Maschinenbau-Drehstrommotor..."
"Dietmar","00:10:43:16","00:10:44:12","Völliger Irrsinn!"
"Dietmar","00:10:45:08","00:10:45:39","(Michael lacht)"
"Dietmar","00:10:45:39","00:10:47:00","Ja und..."
"Michael","00:10:47:29","00:10:58:30","Genau... Dann die... Diplomarbeit hieß dann “GMD Papier 321”..."
"Dietmar","00:10:59:02","00:10:59:27","Ja!"
"Michael","00:10:59:27","00:11:05:23","Funktions- und Konstruktionsprinzipien der programmgesteuerten mechanischen Rechenmaschine “Z1”"
"Dietmar","00:11:06:30","00:11:15:10","Ja, weil den Begriff Computer kannte man ja damals nicht... 1936, als Zuse die Maschine gebaut hat. Für ihn war es ja ein Rechenautomat, aber das Besondere war eben:"
"Dietmar","00:11:15:10","00:11:16:26","Frei programmierbar!"
"Dietmar","00:11:16:26","00:11:29:19","Das heißt... Ich konnte die Rechenoperationen in eigener Folge kombinieren. Und im binären System. Aber der Begriff Computer entstand ja erst später. Deswegen war es für ihn eine: Frei programmierbare Rechenmaschine!"
"Dietmar","00:11:29:20","00:11:30:02","Das steckt dahinter, ja!"
"Dietmar","00:11:30:02","00:11:31:49","Ja."
"Dietmar","00:11:31:49","00:11:32:37","Und..."
"Michael","00:11:33:19","00:11:40:13","Ich würde nachher noch kurz ein bisschen auf die Technik vielleicht eingehen... Aber jetzt vielleicht erst nochmal zum Ablauf, wie es dann weiter ging."
"Michael","00:11:40:13","00:11:42:31","Ihr habt dann eben diese Maschine aufgebaut..."
"Michael","00:11:42:31","00:11:48:48","War mühsam und im Juni 1989 war sie dann fertig!"
"Dietmar","00:11:49:07","00:11:50:18","Ja!"
"Michael","00:11:50:18","00:11:53:12","Und... Wie lange habt ihr da insgesamt dann gebraucht?"
"Michael","00:11:53:12","00:11:54:19","Vierzehn Monate!"
"Michael","00:11:54:19","00:11:55:07","Vierzehn Monate, dann doch..."
"Dietmar","00:11:55:07","00:12:05:16","Ja, also es war die Diplomarbeit, die lief sechs Monate. Die haben wir dann auch mit... ich würde nicht sagen, mit Hängen und Würgen, aber auf der letzten Minute durchgebracht, dass wir die sechs Monate eingehalten haben. Das war damals an der Hochschule auch so eine Frist."
"Michael","00:12:05:17","00:12:06:44","Ach war eine harte Grenze?"
"Dietmar","00:12:07:11","00:12:14:30","Ja, also wir hatten drei Monate eigentliche Standard Diplomarbeit. Wir haben dann drei Monate Verlängerung bekommen, das war ziemlich schnell klar. Und die auch noch einzuhalten, war schon knapp."
"Dietmar","00:12:14:30","00:12:26:09","Da haben wir in den letzten Wochen wirklich Tag und Nacht gearbeitet. Uschis Schwester hat dann noch gegengelesen, Korrektur gelesen. Ich hatte auch noch welche, die Korrektur gelesen haben. Und dann haben wir sie abgegeben... Und da war das Thema... Da waren die sechs Monate rum."
"Michael","00:12:26:21","00:12:31:07","Und kurze Frage: Ich meine hier haben wir jetzt dieses GMD Papier..."
"Dietmar","00:12:31:20","00:12:32:05","Nee, das ist das Original!"
"Michael","00:12:32:05","00:12:32:38","Ach, das ist das Original?"
"Dietmar","00:12:32:38","00:12:37:26","Das Original Diplomarbeit... Das GMD Papier ist das hier, also nur dünner!"
"Dietmar","00:12:37:26","00:12:37:49","Ach!"
"Dietmar","00:12:37:49","00:12:39:00","aber das ist das Original!"
"Michael","00:12:39:00","00:12:40:13","Ach das ist das Original?"
"Dietmar","00:12:40:13","00:12:40:46","Ja!"
"Michael","00:12:40:46","00:12:43:05","Und das ist das, also das ist ja dicker, das Original..."
"Dietmar","00:12:43:05","00:12:55:17","Das liegt daran, da sind die Zeichnungen gefaltet drin. Die Original Schwarzweißfotos reingeklebt, das dickt natürlich auch auf... Achtzig Gramm Papier genommen und... Das hier ist ein bisschen dünneres Papier und alles gedruckt, deswegen auch dünner!"
"Michael","00:12:55:31","00:13:01:25","Ist dann in dem GMD Papier eins zu eins die Diplomarbeit kopiert, oder wurde die nochmal nachbearbeitet?"
"Dietmar","00:13:01:44","00:13:05:18","Diese Faltzeichnungen, die wir hier drin haben... Ich ziehe sie mal raus..."
"Dietmar","00:13:05:18","00:13:08:03","Die ist ja DIN-A3, die haben wir nach DIN gefaltet..."
"Dietmar","00:13:08:03","00:13:10:10","Die sind so dort nicht abgebildet!"
"Dietmar","00:13:10:10","00:13:16:47","Ansonsten inhaltlich: Ich glaube nicht, dass da jemand was korrigiert hat. Fachlich kann es kaum einer korrigieren, weil es war ja ein Einzelstück."
"Dietmar","00:13:16:47","00:13:32:42","Das war auch für unseren Professor das Problem beim Kolloquium. Was will er uns denn fragen? Der kann uns zwar Fragen stellen, aber er kann uns ja nicht... Die Antwort von uns auf Plausibilität checken. Stimmt das denn, was die Frau Schweier und er Herr Saupe uns sagen? Weil das Ding war ja nicht dokumentiert! Das hat er auch zugegeben, das war schwierig für ihn."
"Michael","00:13:32:42","00:13:34:29","Da hätte der Herr Zuse dabei sein müssen!"
"Dietmar","00:13:34:32","00:13:47:23","Sozusagen, ganz genau! Und das hätte der nicht mitgemacht. Was für ein Quatsch! Nach dem Motto: Ich will die Maschine bauen und hier nicht irgendwelche Arbeiten schreiben! Das ist euer Problem von der Hochschule. Also das Kolloquium war schon lustig, wenn ich mich daran erinnere, das war..."
"Dietmar","00:13:47:23","00:13:49:29","Da haben wir ihnen mehr erzählt, als dass sie etwas fragen konnten."
"Michael","00:13:51:00","00:13:52:37","Darf man fragen, welche Note ihr bekommen habt?"
"Dietmar","00:13:52:40","00:13:54:33","Ja, darfst du, es war eine Eins, eine Glatte!"
"Michael","00:13:54:33","00:13:55:31","Ei! Ja!"
"Michael","00:13:56:24","00:14:00:11","Und wenn man sie zusammen schreibt die Arbeit, kriegt man dann... Kriegen beide die gleiche Note?"
"Dietmar","00:14:00:28","00:14:02:29","Ja, Ja, definitiv! Also mitgehangen, mitgefangen!"
"Dietmar","00:14:02:29","00:14:16:38","Also wenn es daneben geht, oder wir schwerwiegende Fehler gemacht hätten, und wir hätten eine Vier oder Fünf bekommen, wäre das auch für beide gewesen, das ist klar! Also das muss man schon... Da ist man als Team... Entweder sackt man die Lorbeeren ein oder man sackt ab, beides geht!"
"Dietmar","00:14:16:38","00:14:22:20","Aber wir waren ja auch am Ende der Arbeit relativ zufrieden, was die Dokumentation des Speicherwerks angeht."
"Dietmar","00:14:22:20","00:14:30:36","Das war uns auch bewusst, dass wir das ordentlich dokumentiert hatten. Und wir hatten zwei Korrekturleser... Und da wussten wir schon: Okay, das ist nicht verkehrt so!"
"Dietmar","00:14:30:36","00:14:35:28","Aber uns war auch bewusst, es ist unvollständig... Es ist die halbe Maschine dokumentiert und zwar der leichtere Teil."
"Dietmar","00:14:35:28","00:14:35:39","Ja."
"Dietmar","00:14:36:18","00:14:40:43","Und das war schon klar, danach haben auch alle auf uns eingeredet: Macht doch noch dieses Rechenwerk!"
"Michael","00:14:40:43","00:14:41:03","Ja."
"Dietmar","00:14:41:36","00:14:43:24","Und wir so: Ja wie dann und wann denn?"
"Dietmar","00:14:43:24","00:14:46:08","Wir sind doch wieder an der Maschine am Arbeiten den ganzen Tag!"
"Dietmar","00:14:46:08","00:14:47:18","Und wir hatten auch beide..."
"Dietmar","00:14:47:18","00:14:49:37","Ja, also die Nase voll ist das falsche Wort..."
"Dietmar","00:14:49:37","00:14:58:09","Aber wir wollten nach der ganzen Arbeit, nach dem Fertigstellen der Maschine war uns klar, jetzt geht es in die Industrie für uns! Und wir wollten beide arbeiten! Im normalen Job!"
"Michael","00:14:58:09","00:14:58:13","MhHm."
"Dietmar","00:14:58:49","00:15:01:14","Und das war für uns beide kein Thema!"
"Dietmar","00:15:02:03","00:15:07:43","Aber klar ist auch, wenn wir es da gemacht hätten... Das hätten wir schon noch hinbekommen, das Rechenwerk zu dokumentieren."
"Dietmar","00:15:07:43","00:15:15:34","Wenn damals von der Fachhochschule zum Beispiel eine... Promotion möglich gewesen wäre und die GMD hätte das bezahlt... Ich glaube, das wäre anders gelaufen!"
"Dietmar","00:15:15:34","00:15:23:33","Aber damals hieß es, Fachhochschule kann nicht promovieren! Da hätte man in England den Master of Science machen müssen. Und da haben wir auch direkt gesagt: Nee, kommt Leute, lasst gut sein!"
"Dietmar","00:15:24:06","00:15:33:13","Ja, sonst hätten wir das wahrscheinlich gemacht! Könnte ich mir zumindest vorstellen. Ich weiß nicht, wie Uschi drüber nachdenken würde, oder darüber gedacht hätte, aber... Hätten wir auch noch hingebracht, warum nicht?"
"Michael","00:15:33:13","00:15:35:23","Das wäre... Das wäre gut gewesen!"
"Michael","00:15:35:23","00:15:40:08","Und ich habe die Maschine auch schon mehrfach gesehen: Das sieht ja super kompliziert aus, also..."
"Dietmar","00:15:40:08","00:15:43:25","Es ist auch kompliziert! Sieht nicht so aus, sondern sie ist kompliziert!"
"Dietmar","00:15:43:25","00:15:49:40","Und wie viel Bleche da gleichzeitig parallel im Betrieb sind... Und den Takten folgen müssen, diesen vier Takten der Maschine..."
"Dietmar","00:15:49:40","00:15:51:00","Unglaublich, also...."
"Dietmar","00:15:51:00","00:15:55:41","Also ich habe zwischendurch gedacht: Boa, die wird nie funktionieren, das wird nichts! Habe ich ernsthaft gedacht!"
"Dietmar","00:15:55:41","00:16:06:12","Ich war mir nicht sicher und Zuse hat ja auch einige Fehler gemacht. Uschi hat die ja auch irgendwann mal erkannt! Und dann habe ich so gedacht: Gott, wenn das so weiter geht, das wird ja nie was! Und die Zeit reicht uns auch irgendwann nicht mehr."
"Dietmar","00:16:06:12","00:16:13:46","Ich hatte dann Sorge, kommt man überhaupt aus dem Projekt mal irgendwann raus. Ist ja auch eine moralische Geschichte gewesen, dann dabeizubleiben bis zum Ende."
"Dietmar","00:16:13:46","00:16:15:18","Und dann..."
"Dietmar","00:16:15:18","00:16:17:08","Irgendwann haben wir die Kurve bekommen, wir drei!"
"Dietmar","00:16:17:08","00:16:23:48","Und dann hat es immer besser funktioniert. Die Fehler waren immer weniger und dann war die erste Proberechnung lief... Und siehe da: Sie hat dann irgendwann mal getan!"
"Michael","00:16:23:48","00:16:24:06","Wahnsinn!"
"Dietmar","00:16:24:06","00:16:25:08","Ja habe ich auch gesagt."
"Michael","00:16:25:08","00:16:25:38","Wahnsinn!"
"Michael","00:16:25:38","00:16:27:16","Oder da standet ihr dann da mit offenem Mund?"
"Dietmar","00:16:27:16","00:16:28:04","Ja!"
